paper_id,title
85-IND,EduPulse: A Practical LLM-Enhanced Opinion Mining System for Vietnamese Student Feedback in Educational Platforms
118-FIND,Continual Pretraining on Encrypted Synthetic Data for Privacy-Preserving LLMs
986-MAIN,LLMs as Cultural Archives: Cultural Commonsense Knowledge Graph Extraction
33-SRW,"Different Time, Different Language: Revisiting the Bias Against Non-Native Speakers in GPT Detectors"
93-SRW,Learning Nested Named Entity Recognition from Flat Annotations
729-MAIN,BLEnD-Vis: Benchmarking Multimodal Cultural Understanding in Vision Language Models
589-MAIN,FormGym: Doing Paperwork with Agents
942-MAIN,How Do Language Models Acquire Character-Level Information?
216-MAIN,iBERT: Interpretable Style Embeddings via Sense Decomposition
176-IND,Benchmarking and Mitigating the Impact of Noisy User Prompts in Medical VLMs via Cross-Modal Reflection
483-FIND,Can Calibration of Positional Encodings Enhance RAG Performance?
154-MAIN,Don't Trust Generative Agents to Mimic Communication on Social Networks Unless You Benchmarked their Empirical Realism
594-MAIN,MiSCHiEF: A Benchmark in Minimal-Pairs of Safety and Culture for Holistic Evaluation of Fine-Grained Image-Caption Alignment
1010-SRW,Luth: Efficient French Specialization for Small Language Models and Cross-Lingual Transfer
494-FIND,Aggregating Crowd of LLMs for Cost-Effective Data Annotation
355-FIND,VN-MTEB: Vietnamese Massive Text Embedding Benchmark
85-MAIN,"If Probable, Then Acceptable? Understanding Conditional Acceptability Judgments in Large Language Models"
63-FIND,Examining the Utility of Self-disclosure Types for Modeling Annotators of Social Norms
1257-FIND,Risk Assessment of Power Outages as Rare Events with Learning Models and LLMs
55-SRW,Token Pruning for Improving Graph-Generating State Space Model Performance
66-SRW,Probabilistic Bilingual Subword Segmentation with Latent Subword Alignment
330-MAIN,Inferring the Unseen: A Computational Approach to Visual Metonymy
1039-FIND,Diagnosis of Dysarthria Severity and Explanation Generation Using XAI-Enhanced CLINIC-GENIE on Diadochokinetic Tasks
957-MAIN,Wugnectives: Novel Entity Inferences of Language Models from Discourse Connectives
982-FIND,Enabling Autoregressive Models to Fill In Masked Tokens
67-MAIN,"Divide, Reweight, and Conquer: A Logit Arithmetic Approach for In-Context Learning"
631-MAIN,Reasoning's Razor: Reasoning Improves Accuracy but Hurts Recall at Critical Operating Points in Safety and Hallucination Detection
157-FIND,VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought
176-SRW,"Understanding Subliminal Learning: Generality, Sensitivity, and Token-Level Explanations"
169-MAIN,Progressive Visual Refinement for Multi-modal Summarization
576-FIND,Do GUI Grounders Truly Understand UI Elements?
283-MAIN,Unraveling LLM Jailbreaks Through Safety Knowledge Neurons
630-FIND,XMAD-Bench: Cross-Domain Multilingual Audio Deepfake Benchmark
456-MAIN,PTEB: Towards Robust Text Embedding Evaluation via Stochastic Paraphrasing at Evaluation Time with LLMs
65-IND,Beyond Grid Search: Leveraging Bayesian Optimization for Accelerating RAG Pipeline Optimization
930-FIND,"UniToolBench: A Benchmark for Tool-Augmented LLMs in Cross-Domain, Universal Task Automation"
890-MAIN,When Benchmarks Age: Temporal Misalignment through Large Language Model Factuality Evaluation
138-MAIN,CrossThink: Scaling Self-Learning beyond Math Reasoning
462-MAIN,Test-Time Scaling of Reasoning Models for Machine Translation
74-SRW,Evaluating the Impact of SAE-based Language Steering on LLM Performance
308-FIND,ParsTranslit: Truly Versatile Tajik-Farsi Transliteration
98-MAIN,Leveraging LLM-GNN Integration for Open-World Question Answering over Knowledge Graphs
742-FIND,Learning to Ask: Multi-Decoder Fine-Tuning for Multi-Hop Visual Question Generation with External Knowledge
698-FIND,Tailoring Memory Granularity for Multi-Hop Reasoning over Long Contexts
441-MAIN,Can activation steering support language-agnostic reasoning in language models? A study on syllogistic inferences
168-SRW,Pushing the Boundaries of Multiple Choice Evaluation to One Hundred Options
811-MAIN,DuwatBench: Bridging Language and Visual Heritage through an Arabic Calligraphy Benchmark for Multimodal Understanding
378-MAIN,Compact Language Models with Iterative Text Refinement for Health Dialogue Summarization
1107-FIND,Revealing the Numeracy Gap: An Empirical Investigation of Text Embedding Models
746-FIND,TABED: Test-Time Adaptive Ensemble Drafting for Robust Speculative Decoding in LVLMs
19-SRW,Thesis proposal: Are We Losing Textual Diversity to Natural Language Processing?
58-SRW,Scale Is All You Need 🙄: Analyzing Modality Interaction and Speaker Intent Without Fine-Tuning
665-MAIN,A Survey on LLM-based Conversational User Simulation
831-MAIN,Bridging Attribution and Open-Set Detection using Graph-Augmented Instance Learning in Synthetic Speech
1322-MAIN,Teaching Small Language Models to Learn Logic through Meta-Learning
293-FIND,MapAgent: A Hierarchical Agent for Geospatial Reasoning with Dynamic Map Tool Integration
389-MAIN,PictureStories: Predicting the Task Adherence of Language Learner Answers to a Picture Story-Based Writing Task
923-FIND,BSCodec: A Band-Split Neural Codec for High-Quality Universal Audio Reconstruction
767-FIND,Marking Code Without Breaking It: Code Watermarking for Detecting LLM-Generated Code
192-MAIN,When Words Wear Masks: Detecting Malicious Intents and Hostile Impacts of Online Hate Speech
724-MAIN,Where Do LLMs Compose Meaning? A Layerwise Analysis of Compositional Robustness
640-MAIN,Instructional Agents: Reducing Teaching Faculty Workload through Multi-Agent Instructional Design
1129-FIND,RoD-TAL: A Benchmark for Answering Questions in Romanian Driving License Exams
485-MAIN,Guided by the Plan: Enhancing Faithful Autoregressive Text-to-Audio Generation with Guided Decoding
750-MAIN,Unlocking Latent Discourse Translation in LLMs Through Quality-Aware Decoding
12-FIND,Unveiling the Deficiencies of Pre-trained Text-and-Layout Models in Real-world Visually-rich Document Information Extraction
142-MAIN,CALE : Concept-Aligned Embeddings for Both Within-Lemma and Inter-Lemma Sense Differentiation
105-IND,Adapting Vision-Language Models for E-commerce Understanding at Scale
383-FIND,RV-Syn: Rational and Verifiable Mathematical Reasoning Data Synthesis based on Structured Function Library
482-FIND,TIPA: Typologically Informed Parameter Aggregation
1298-FIND,ILSIC: Corpora for Identifying Indian Legal Statutes from Queries by Laymen
699-FIND,Unlocking Large Audio-Language Models for Interactive Language Learning
664-FIND,Negative-Aware Diffusion Process for Temporal Knowledge Graph Extrapolation
914-MAIN,ObjChangeVR: Object State Change Reasoning from Continuous Egocentric Views in VR Environments
858-FIND,RiddleBench: A New Generative Reasoning Benchmark for LLMs
1361-MAIN,Navigating the Infinite Dynamic Web Space: Effective In-Context Exploration via Cognitive Multi-Agent Collaboration
224-MAIN,Say It Another Way: Auditing LLMs with a User-Grounded Automated Paraphrasing Framework
740-FIND,Beyond Multiple Choice: Evaluating Steering Vectors for Summarization
575-MAIN,AfriMTEB and AfriE5: Benchmarking and Adapting Text Embedding Models for African Languages
73-SRW,Towards Singable Lyrics Translation Using Large Language Models
791-MAIN,Entropy-Gated Branching for Efficient Test-Time Reasoning
200-FIND,Linking Knowledge to Care: Knowledge Graph-Augmented Medical Follow-Up Question Generation
176-FIND,Skill Discovery for Software Scripting Automation via Offline Simulations with LLMs
711-MAIN,Attribution-Guided Multi-Object Hallucination and Bias Detection in Vision-Language Models
548-FIND,Seeing All Sides: Multi-Perspective In-Context Learning for Subjective NLP
629-FIND,Analyzing Instruction Optimization in LLM-based Pipelines for Tabular Fact Verification
1014-FIND,Benchmarking Direct Preference Optimization for Medical Large VisionвЂ“Language Models
843-FIND,Mitigating Causal Bias in LLMs via Potential Outcomes Framework and Actual Causality Theory
245-MAIN,Surprisal from Larger Transformer-based Language Models Predicts fMRI Data More Poorly
581-FIND,SafeSearch: Do Not Trade Safety for Utility in LLM Search Agents
1255-MAIN,LitBench: A Benchmark and Dataset for Reliable Evaluation of Creative Writing
22-IND,From Paper to Structured JSON: An Agentic AI Workflow for Compliant BMR Digital Transformation
279-FIND,HiGraAgent: Dual-Agent Adaptive Reasoning over Hierarchical Knowledge Graph for Open Domain Multi-hop Question Answering
1192-FIND,Distill and Align Decomposition for Enhanced Claim Verification
799-MAIN,From Delegates to Trustees: How Optimizing for Long-Term Interests Shapes Bias and Alignment in LLMs
559-FIND,Are Multimodal LLMs Movie Buffs?
1160-FIND,A Domain-Specific Curated Benchmark for Entity and Document-Level Relation Extraction
171-MAIN,Adaptive LLM-Symbolic Reasoning via Dynamic Logical Solver Composition
402-FIND,Detection of Adversarial Prompts with Model Predictive Entropy
111-MAIN,"BERT, are you paying attention? Attention regularization with human-annotated rationales"
459-FIND,Investigating Gender Stereotypes in Large Language Models via Social Determinants of Health
552-MAIN,Mapping the Course for Prompt-based Structured Prediction
39-SRW,Exploring the Semantic Space of Second Language Learners
789-MAIN,Persuasion at Play: Understanding Misinformation Dynamics in Demographic-Aware Human-LLM Interactions
165-FIND,Complexity-aware fine-tuning
317-FIND,SymCode: A Neurosymbolic Approach to Mathematical Reasoning via Verifiable Code Generation
738-MAIN,Beyond Memorization: A Rigorous Evaluation Framework for Medical Knowledge Editing
626-FIND,MADIAVE: Multi-Agent Debate for Implicit Attribute Value Extraction
695-MAIN,GAST: Gradient-aligned Sparse Tuning of Large Language Models with Data-layer Selection
908-MAIN,Contextual morphologically-guided tokenization for Latin encoder models
922-MAIN,"Do Audio LLMs Really LISTEN, or Just Transcribe? Measuring Lexical vs. Acoustic Emotion Cues Reliance"
963-MAIN,Beyond Accuracy: Benchmarking Abstention and Uncertainty in Large Language Models for Medical Question Answering
615-FIND,Negative Sampling Techniques in Dense Retrieval: A Survey
978-FIND,From Numbers to Narratives: Efficient Language Model-Based Detection for Safety-Critical Minority Classes
1008-MAIN,CONGRAD: Conflicting Gradient Filtering for Multilingual Preference Alignment
577-FIND,Scaling Cultural Resources for Improving Generative Models
898-FIND,PEAR: Planner-Executor Agent Robustness Benchmark
488-FIND,FiNERweb: Datasets and Artifacts for Scalable Multilingual Named Entity Recognition
45-SRW,Communication as a Complex System: Modeling the Feedback Dynamics of Trust and Credibility
56-IND,Beyond IVR: Benchmarking Customer Support LLM Agents for Business-Adherence
244-FIND,On the Interplay between Human Label Variation and Model Fairness
128-IND,IndicJR: A Judge-Free Benchmark of Jailbreak Robustness in South Asian Languages
139-MAIN,"Safety of Large Language Models Beyond English: A Systematic Literature Review of Risks, Biases, and Safeguards"
139-IND,DIALECTIC: A Multi-Agent System for Startup Evaluation
1014-SRW,Modality Matching Matters: Calibrating Language Distances for Cross-Lingual Transfer in URIEL+
